id_veiculo,linha,latitude,longitude,timestamp_gps,velocidade,sentido,vista,placa,direcao,ignicao,hodometro,capacidade_pe,capacidade_sentado,id_migracao_trajeto,timestamp_captura
901038,35,-23.001385,-43.367951,2025-10-28 10:10:00-03:00,23.5,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],,104,1,251648.4,0,0,109,2025-10-28 10:17:03.729613
901039,35,-23.000572,-43.368885,2025-10-28 10:15:56-03:00,32.6,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],,152,1,229105.5,0,0,108,2025-10-28 10:17:03.729613
901040,35,-22.964684,-43.391461,2025-10-28 09:49:44-03:00,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],,67,0,18382.6,0,0,108,2025-10-28 10:17:03.729613
901041,35,-22.952019,-43.374467,2025-10-28 10:16:45-03:00,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],,16,1,224739.9,0,0,109,2025-10-28 10:17:03.729613
901042,35,-23.001235,-43.365897,2025-10-28 10:16:41-03:00,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],,81,1,226970.4,0,0,109,2025-10-28 10:17:03.729613
901043,35,-23.002205,-43.366169,2025-10-28 09:10:27-03:00,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],,216,0,199796.6,0,0,109,2025-10-28 10:17:03.729613
901054,53,-22.964699,-43.392208,2025-10-28 09:47:58-03:00,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],,343,0,66262.3,0,0,8966,2025-10-28 10:17:03.729613
903009,42,-22.876579,-43.329644,2025-07-15 13:36:38-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],, ,1,234260.4,0,0,,2025-10-28 10:17:03.729613
903010,42,-22.876558,-43.329459,2025-10-28 10:00:13-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,72,0,37511.4,0,0,9447,2025-10-28 10:17:03.729613
903011,42,-22.876836,-43.329856,2025-10-28 10:03:37-03:00,9.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,30,0,275645.9,0,0,9447,2025-10-28 10:17:03.729613
903012,42,-22.839784,-43.239613,2025-10-28 10:15:44-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,144,0,247287.6,0,0,9447,2025-10-28 10:17:03.729613
903015,42,-22.876463,-43.329518,2025-10-28 10:06:04-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,246,0,13224.1,0,0,9447,2025-10-28 10:17:03.729613
903016,42,-22.839388,-43.23996,2025-10-28 10:16:49-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,143,1,267963.2,0,0,9447,2025-10-28 10:17:03.729613
903017,42,-22.83772,-43.288959,2025-10-28 10:16:50-03:00,37.6,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,282,1,223273.2,0,0,9447,2025-10-28 10:17:03.729613
903018,42,-22.842674,-43.272091,2025-10-28 10:16:42-03:00,19.8,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],,102,1,37974.6,0,0,9449,2025-10-28 10:17:03.729613
903019,0,-22.774938,-43.284832,2025-07-24 23:14:23-03:00,0.0,,,, ,0,149391.1,0,0,,2025-10-28 10:17:03.729613
903020,42,-22.876248,-43.329547,2025-10-28 10:07:37-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,353,0,10328.1,0,0,9447,2025-10-28 10:17:03.729613
903023,42,-22.81415,-43.24514,2025-10-28 10:16:58-03:00,27.1,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,33,1,217940.4,0,0,9447,2025-10-28 10:17:03.729613
903024,0,-22.805205,-43.342031,2025-10-09 08:14:00-03:00,0.0,,,, ,0,176766.9,0,0,,2025-10-28 10:17:03.729613
903025,42,-22.852341,-43.312211,2025-10-28 10:16:57-03:00,0.0,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],,47,1,52734.6,0,0,9449,2025-10-28 10:17:03.729613
903013,42,-22.87656,-43.329815,2025-10-28 10:14:40-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,87,0,256429.2,0,0,9447,2025-10-28 10:17:03.729613
903014,42,-22.876393,-43.329489,2025-10-28 09:52:16-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],, ,0,275848.6,0,0,9447,2025-10-28 10:17:03.729613
